"shapeName","shapeISO","shapeID","shapeGroup","shapeType","pre_mean","temp_mean","tempmax","tempmin"
"Chadiza",NA,"96606910B44569696961001","ZMB","ADM2",731.796253163878,22.8970176112296,28.9869453564044,16.8400742855092
"Chama",NA,"96606910B17560798529879","ZMB","ADM2",916.721638888873,22.2305543982089,28.4951433065009,16.0216407454686
"Chasefu",NA,"96606910B72978673218668","ZMB","ADM2",895.016745899125,21.8878600091106,28.1886655255691,15.6432592333989
"Chavuma",NA,"96606910B52944150437375","ZMB","ADM2",1100.26374561312,22.6310421501948,30.5092964643856,14.8342302803404
"Chembe",NA,"96606910B10415646720486","ZMB","ADM2",1078.9676576656,21.3857643008232,28.3965281446775,14.4309030738142
"Chibombo",NA,"96606910B53104033004120","ZMB","ADM2",897.367145168079,21.780999406835,28.7362766104154,14.8995447921241
"Chiengi",NA,"96606910B82152127957425","ZMB","ADM2",986.111670311192,23.2577546770094,29.4251487796314,17.1431712773701
"Chifunabuli",NA,"96606910B92394332931396","ZMB","ADM2",1448.11314581473,21.92843799414,28.0184971449636,15.9000334009647
"Chikankanta",NA,"96606910B6098711564137","ZMB","ADM2",786.569760998776,22.7426413557243,29.4492406571561,16.115077098362
"Chilanga",NA,"96606910B81629947645825","ZMB","ADM2",822.479589026672,22.0565004173117,28.8259168466164,15.3663101649634
"Chililabombwe",NA,"96606910B40420728980339","ZMB","ADM2",0,0,0,0
"Chilubi",NA,"96606910B6838055437947","ZMB","ADM2",1383.97964497844,21.9028437150306,28.0679410515092,15.7974228537895
"Chingola",NA,"96606910B88567375078856","ZMB","ADM2",923.254505506713,20.4315515743042,28.4764625335953,12.4527069341237
"Chinsali",NA,"96606910B49575738019753","ZMB","ADM2",1072.15072231126,21.4572747255152,27.8835022962635,15.0855204296953
"Chipangali",NA,"96606910B61559073197846","ZMB","ADM2",870.212430092362,22.9697116245552,29.3116251443344,16.7027115559425
"Chipata",NA,"96606910B12043083212801","ZMB","ADM2",990.022175370906,22.2929915898777,28.3868869930701,16.2738309580726
"Chipili",NA,"96606910B25287686140667","ZMB","ADM2",1308.79167645816,21.9929816623352,28.4788625916412,15.5615892398945
"Chirundu",NA,"96606910B35256638811207","ZMB","ADM2",763.185724943929,24.8188918779887,31.3180618102229,18.3933256196801
"Chisamba",NA,"96606910B82726316050571","ZMB","ADM2",857.535594825258,22.0589203889972,28.7338083752213,15.4558379457972
"Chitambo",NA,"96606910B62371668778538","ZMB","ADM2",884.068620378648,21.8674565069719,28.4683792306278,15.322700395891
"Choma",NA,"96606910B73975181244202","ZMB","ADM2",765.410017368412,21.5944472974193,28.7818198936593,14.484499763718
"Chongwe",NA,"96606910B32717004733154","ZMB","ADM2",811.76809655359,22.2032209415846,28.8104527925765,15.6675870359341
"Gwembe",NA,"96606910B99334137269025","ZMB","ADM2",559.168936561403,23.8034003255147,30.505212415545,17.180836105608
"Ikelenge",NA,"96606910B32160654105939","ZMB","ADM2",1307.56867783904,20.8595253295619,28.153381879131,13.6411500158861
"Isoka",NA,"96606910B95554535134500","ZMB","ADM2",824.430893534156,21.4193829223834,27.5072510506088,15.384487661152
"Itezhi-Tezhi",NA,"96606910B99117639697542","ZMB","ADM2",804.637537911518,22.2832653080098,29.8938780292141,14.745273313438
"Kabompo",NA,"96606910B9917173826335","ZMB","ADM2",1080.9085511254,22.1719599878608,29.9972108910088,14.3973372754467
"Kabwe",NA,"96606910B72559103883158","ZMB","ADM2",929.772438340822,21.7057617757516,28.5072733942947,14.9747510055638
"Kafue",NA,"96606910B70191271227661","ZMB","ADM2",771.54932340355,23.1401261683913,29.7987743552374,16.5576727599014
"Kalabo",NA,"96606910B70334566672203","ZMB","ADM2",959.940570806677,23.0773405650095,30.4780908651389,15.7228760643293
"Kalomo",NA,"96606910B45059584224762","ZMB","ADM2",700.428866369161,21.3798596419226,28.804333551484,14.031368570611
"Kalulushi",NA,"96606910B20946814397752","ZMB","ADM2",1269.22965276994,20.6748137018913,28.6528275786515,12.7671309773148
"Kalumbila",NA,"96606910B30237809157373","ZMB","ADM2",1138.16192808222,21.0294554177062,28.5878141326205,13.5301954116801
"Kanchibiya",NA,"96606910B88888220258727","ZMB","ADM2",1181.65707971571,21.3064196877137,27.5957508681222,15.0748333823272
"Kaoma",NA,"96606910B45616226024157","ZMB","ADM2",958.190327577181,22.2739578406395,29.9847612225372,14.6016676123576
"Kapiri Mposhi",NA,"96606910B40769326482894","ZMB","ADM2",978.244612826215,21.6546990410961,28.5146849321198,14.8647780234049
"Kaputa",NA,"96606910B91372429992286","ZMB","ADM2",1257.39446458123,23.220956171424,29.4096378591377,17.08504353429
"Kasama",NA,"96606910B49131847475849","ZMB","ADM2",1294.56140560706,21.5431335081248,28.0450854958905,15.0955523212235
"Kasempa",NA,"96606910B75049689384444","ZMB","ADM2",1111.88342656305,21.3340053879534,28.9520647975627,13.7576472374594
"Kasenengwa",NA,"96606910B99834275279733","ZMB","ADM2",964.042831533303,23.1414198159133,29.4900215480008,16.8576099908451
"Katete",NA,"96606910B8201415928290","ZMB","ADM2",1056.68178975161,23.2169894525869,29.4218308790656,17.0437106470158
"Kawambwa",NA,"96606910B68487362337591","ZMB","ADM2",1329.60343287093,22.1056772639241,28.4818314298272,15.78584378377
"Kazungula",NA,"96606910B95953051402599","ZMB","ADM2",701.737607234782,22.9220835052093,30.4486338932214,15.4736569976964
"Kitwe",NA,"96606910B1018737914833","ZMB","ADM2",1256.09192519112,20.9016832493371,28.7610819267065,13.117574672631
